folder,file,cleaned,norm,match,score,runner_up,runner_up_score,tier
"Зал","027_Вращение корпуса сидя на ягодицах.mp4","Вращение корпуса сидя на ягодицах","вращение корпуса сидя ягодицах","Вращение корпуса сидя на ягодицах","1","Сгибание ног сидя/лёжа","0.4","confident"
"Зал","028_Отведение рук назад сидя в наклоне .mp4","Отведение рук назад сидя в наклоне","отведение рук назад сидя наклоне","Отведение рук назад сидя в наклоне","1","Отведение руки с резиной","0.531","confident"
"Зал","032_Тяга верхнего блока широким хватом.mp4","Тяга верхнего блока широким хватом","тяга верхнего блока широким хватом","Тяга верхнего блока широким хватом","1","Тяга верхнего блока","0.84","confident"
"Зал","035_Тяга горизонтальная к поясу по одной руке стоя в выпаде.mp4","Тяга горизонтальная к поясу по одной руке стоя в выпаде","тяга горизонтальная поясу одной руке стоя выпаде","Тяга горизонтальная к поясу по одной руке стоя в выпаде","1","Тяга верхнего блока с V-образной рукоятью","0.354","confident"
"Зал","03_Болгарские выпады .mp4","Болгарские выпады","болгарские выпады","Болгарские выпады","1","Болгарские выпады с гантелями","0.867","confident"
"Зал","044_Молитва в кроссовере.mp4","Молитва в кроссовере","молитва кроссовере","Молитва в кроссовере","1","Махи стоя в кроссовере","0.7","confident"
"Зал","047_Гиперэкстензия .mp4","Гиперэкстензия","гиперэкстензия","Гиперэкстензия","1","Приседания","0.357","confident"
"Зал","048_Обратная бабочка .mp4","Обратная бабочка","обратная бабочка","Обратная бабочка","1","Обратная лодочка","0.813","confident"
"Зал","049_Бабочка.mp4","Бабочка","бабочка","Бабочка","1","Обратная бабочка","0.8","confident"
"Зал","050_Тяга нижнего блока с упором грудью.mp4","Тяга нижнего блока с упором грудью","тяга нижнего блока упором грудью","Тяга нижнего блока с упором грудью","1","Тяга нижнего блока с V-образной рукоятью сидя","0.605","confident"
"Зал","06_Зашагивание на тумбу.mp4","Зашагивание на тумбу","зашагивание тумбу","Зашагивание на тумбу","1","Разгибание рук (косичка)","0.364","confident"
"Зал","07_Румынская тяга со штангой .mp4","Румынская тяга со штангой","румынская тяга штангой","Румынская тяга со штангой","1","Румынская тяга на одной ноге со штангой","0.84","confident"
"Зал","08_Румынская тяга со штангой на одной ноге.mp4","Румынская тяга со штангой на одной ноге","румынская тяга штангой одной ноге","Румынская тяга на одной ноге со штангой","1","Румынская тяга со штангой","0.84","confident"
"Зал","09_Жим гантелей лежа на наклонной скамье.mp4","Жим гантелей лежа на наклонной скамье","жим гантелей лежа наклонной скамье","Жим гантелей лёжа на наклонной скамье","1","Тяга гантели в наклоне с опорой на скамью","0.471","confident"
"Зал","026_Боковой выпад с подьемом гантели над головой.mp4","Боковой выпад с подьемом гантели над головой","боковой выпад подьемом гантели над головой","Боковой выпад с подъёмом гантели над головой","0.976","Выпад назад с гантелью в руке над головой","0.452","confident"
"Зал","017_Доползанме до планки становимся на локти.mp4","Доползанме до планки становимся на локти","доползанме планки становимся локти","Доползание до планки + становимся на локти","0.971","Доползание до планки + касание рукой противоположного плеча","0.426","confident"
"Дом","Вращения корпуса сидя на ягодицах .mp4","Вращения корпуса сидя на ягодицах","вращения корпуса сидя ягодицах","Вращение корпуса сидя на ягодицах","0.967","Сгибание ног сидя/лёжа","0.367","confident"
"Зал","045_Отведение бедер сидя в тренажере.mp4","Отведение бедер сидя в тренажере","отведение бедер сидя тренажере","Отведения бёдер сидя в тренажёре","0.967","Отведения бёдер сидя с резиной","0.733","confident"
"Дом","отведение бедер сидя с резиной .mp4","отведение бедер сидя с резиной","отведение бедер сидя резиной","Отведения бёдер сидя с резиной","0.964","Отведения бёдер сидя в тренажёре","0.733","confident"
"Зал","030_Румынская тяга стоя на одной ноге с отведением второй ноги назад .mp4","Румынская тяга стоя на одной ноге с отведением второй ноги назад","румынская тяга стоя одной ноге отведением второй ноги назад","Румынская стоя на одной ноге с отведением второй ноги назад","0.956","Румынская тяга на одной ноге отводя другую ногу назад с резиной","0.559","confident"
"Дом","Разгибания рук с резиной .mp4","Разгибания рук с резиной","разгибания рук резиной","Разгибание рук с резиной","0.955","Разгибание рук (косичка)","0.682","confident"
"Дом","Сгибания рук с резиной.mp4","Сгибания рук с резиной","сгибания рук резиной","Сгибание рук с резиной","0.95","Приведение руки с резиной","0.652","confident"
"Зал","031_Румынская тяга на одной ноге с упором другой ноги в стену.mp4","Румынская тяга на одной ноге с упором другой ноги в стену","румынская тяга одной ноге упором другой ноги стену","Румынская на одной ноге с упором другой ноги в стену","0.95","Румынская на одной ноге с упором другой ноги в стену с резиной","0.755","confident"
"Зал","036_Тяга нижнего блока сидя c V образной рукоятью.mp4","Тяга нижнего блока сидя c V образной рукоятью","тяга нижнего блока сидя c v образной рукоятью","Тяга нижнего блока с V-образной рукоятью сидя","0.95","Тяга нижнего блока с упором грудью","0.578","confident"
"Зал","029_Тяга гантели в наклоне с упором на скамью .mp4","Тяга гантели в наклоне с упором на скамью","тяга гантели наклоне упором скамью","Тяга гантели в наклоне с опорой на скамью","0.941","Тяга нижнего блока с упором грудью","0.559","confident"
"Зал","043_Махи в кроссовере по одной руке V образной рукоятью.mp4","Махи в кроссовере по одной руке V образной рукоятью","махи кроссовере одной руке v образной рукоятью","Махи в кроссовере по одной руке V-образной рукояткой","0.936","Тяга верхнего блока с V-образной рукоятью","0.565","confident"
"Дом","отведение согнутой ноги стоя в наклоне .mp4","отведение согнутой ноги стоя в наклоне","отведение согнутой ноги стоя наклоне","Отведение согнутой ноги стоя в наклоне с резиной","0.933","Отведение руки с резиной","0.417","confident"
"Зал","033_Тяга верхнего блока с V образной рукояткой .mp4","Тяга верхнего блока с V образной рукояткой","тяга верхнего блока v образной рукояткой","Тяга верхнего блока с V-образной рукоятью","0.925","Тяга верхнего блока","0.8","confident"
"Зал","046_Сгибание ног сидя или лежа.mp4","Сгибание ног сидя или лежа","сгибание ног сидя или лежа","Сгибание ног сидя/лёжа","0.92","Сгибание рук (косичка)","0.462","confident"
"Зал","040_Разгибание рук с косичкой.mp4","Разгибание рук с косичкой","разгибание рук косичкой","Разгибание рук (косичка)","0.913","Разгибание рук с резиной","0.783","confident"
"Зал","041_Сгибание рук с косичкой.mp4","Сгибание рук с косичкой","сгибание рук косичкой","Сгибание рук (косичка)","0.905","Сгибание рук с резиной","0.762","confident"
"Дом","Махи ноги стоя.mp4","Махи ноги стоя","махи ноги стоя","Махи ноги стоя с резиной","0.9","Махи с гантелями стоя","0.632","confident"
"Дом","выпады с резиной.mp4","выпады с резиной","выпады резиной","Болгарские выпады с резиной","0.867","Выпады","0.8","confident"
"Дом","Жим резины .mp4","Жим резины","жим резины","Жим резины сидя","0.867","Протяжка резины","0.533","confident"
"Дом","Тяга к поясу резины с упором.mp4","Тяга к поясу резины с упором","тяга поясу резины упором","Тяга к поясу резины с упором рукой в наклоне","0.867","Тяга резины лёжа на полу","0.417","confident"
"Дом","ягодичный мост .mp4","ягодичный мост","ягодичный мост","Ягодичный мост со штангой","0.867","Ягодичный мост на одной ноге (упор на стул/диван)","0.714","confident"
"Зал","022_Выпады на месте .mp4","Выпады на месте","выпады месте","Выпады назад на месте","0.867","Выпады","0.8","confident"
"Зал","04_Ягодичный мост.mp4","Ягодичный мост","ягодичный мост","Ягодичный мост со штангой","0.867","Ягодичный мост на одной ноге (упор на стул/диван)","0.714","confident"
"Зал","05_выпады на месте .mp4","выпады на месте","выпады месте","Выпады назад на месте","0.867","Выпады","0.8","confident"
"Дом","Румыгская тяга на одной ноге с отведение другой ноги назад с резиной.mp4","Румыгская тяга на одной ноге с отведение другой ноги назад с резиной","румыгская тяга одной ноге отведение другой ноги назад резиной","Румынская тяга на одной ноге отводя другую ногу назад с резиной","0.852","Румынская стоя на одной ноге с отведением второй ноги назад","0.705","confident"
"Зал","042_Махи одной ноги стоя  в кроссовере.mp4","Махи одной ноги стоя в кроссовере","махи одной ноги стоя кроссовере","Махи стоя в кроссовере","0.84","Махи ноги стоя с резиной","0.516","confident"
"Зал","039_Разгибание рук с прямой  рукояткой .mp4","Разгибание рук с прямой рукояткой","разгибание рук прямой рукояткой","Разгибание рук (прямая рукоять)","0.839","Разгибание рук с резиной","0.581","confident"
"Дом","Румыгская тяга на одной ноге с отведение другой ноги назад.mp4","Румыгская тяга на одной ноге с отведение другой ноги назад","румыгская тяга одной ноге отведение другой ноги назад","Румынская стоя на одной ноге с отведением второй ноги назад","0.815","Румынская тяга на одной ноге отводя другую ногу назад с резиной","0.707","confident"
"Дом","Румыгская тяга на одной ноге с упорои второй ноги в стену с резиной.mp4","Румыгская тяга на одной ноге с упорои второй ноги в стену с резиной","румыгская тяга одной ноге упорои второй ноги стену резиной","Румынская на одной ноге с упором другой ноги в стену с резиной","0.81","Румынская на одной ноге с упором другой ноги в стену","0.672","confident"
"Зал","01_Приседания со штангой .mp4","Приседания со штангой","приседания штангой","Приседания","0.8","Приседания с резиной","0.722","confident"
"Зал","02_Приседания с гантелью.mp4","Приседания с гантелью","приседания гантелью","Приседания","0.8","Приседания с резиной","0.579","confident"
"Зал","034_Подтягивания в гравитроне .mp4","Подтягивания в гравитроне","подтягивания гравитроне","Подтягивания в гравитроне параллельный хват","0.8","Приседания с резиной","0.391","confident"
"Зал","038_Сгибания рук с прямой рукояткой.mp4","Сгибания рук с прямой рукояткой","сгибания рук прямой рукояткой","Сгибание рук (прямая рукоять)","0.793","Сгибание рук с резиной","0.517","confident"
"Дом","Румыгская тяга на одной ноге с упорои второй ноги в стену.mp4","Румыгская тяга на одной ноге с упорои второй ноги в стену","румыгская тяга одной ноге упорои второй ноги стену","Румынская на одной ноге с упором другой ноги в стену","0.78","Румынская стоя на одной ноге с отведением второй ноги назад","0.648","confident"
"Зал","019_Доползание до планки + касание противоположной рукой плеча.mp4","Доползание до планки + касание противоположной рукой плеча","доползание планки касание противоположной рукой плеча","Доползание до планки + касание рукой противоположного плеча","0.778","Доползание до планки + становимся на локти","0.472","confident"
"Дом","ягодичный мост с резиной .mp4","ягодичный мост с резиной","ягодичный мост резиной","Ягодичный мост со штангой","0.773","Ягодичный мост на одной ноге с резиной (упор на стул/диван)","0.75","confident"
"Зал","013_Протяжка штанги.mp4","Протяжка штанги","протяжка штанги","Протяжка штанги широким хватом стоя","0.76","Протяжка резины","0.6","confident"
"Зал","020_Выпады назад с гантелей на головой.mp4","Выпады назад с гантелей на головой","выпады назад гантелей головой","Выпад назад с гантелью в руке над головой","0.703","Выпады","0.7","doubtful"
"Зал","037_Тяга нижнего блока широким хватом.mp4","Тяга нижнего блока широким хватом","тяга нижнего блока широким хватом","Тяга нижнего блока с упором грудью","0.667","Тяга нижнего блока с V-образной рукоятью сидя","0.512","doubtful"
"Зал","018_В планке перетаскивание гантели.mp4","В планке перетаскивание гантели","планке перетаскивание гантели","В планке перетаскиваем гантель под собой","0.632","Доползание до планки + становимся на локти","0.324","doubtful"
