file,proposed_exercise,confidence,second_candidate,dup_group,note,final_exercise
"Зал/022_Выпады на месте .mp4","Выпады назад на месте","0.867","Выпады","Выпады назад на месте","основной; проверь направление «назад» на видео","Выпады назад на месте"
"Зал/04_Ягодичный мост.mp4","Ягодичный мост со штангой","0.867","Ягодичный мост на одной ноге (упор на стул/диван)","Ягодичный мост со штангой","основной для «Ягодичный мост со штангой» (студия); движение то же","Ягодичный мост со штангой"
"Зал/05_выпады на месте .mp4","Выпады назад на месте","0.867","Выпады","Выпады назад на месте","дубль к Зал/022","skip"
"Дом/Румыгская тяга на одной ноге с отведение другой ноги назад с резиной.mp4","Румынская тяга на одной ноге отводя другую ногу назад с резиной","0.852","Румынская стоя на одной ноге с отведением второй ноги назад","","","Румынская тяга на одной ноге отводя другую ногу назад с резиной"
"Зал/042_Махи одной ноги стоя  в кроссовере.mp4","Махи стоя в кроссовере","0.84","Махи ноги стоя с резиной","","","Махи стоя в кроссовере"
"Зал/039_Разгибание рук с прямой  рукояткой .mp4","Разгибание рук (прямая рукоять)","0.839","Разгибание рук с резиной","","","Разгибание рук (прямая рукоять)"
"Дом/Румыгская тяга на одной ноге с отведение другой ноги назад.mp4","Румынская стоя на одной ноге с отведением второй ноги назад","0.815","Румынская тяга на одной ноге отводя другую ногу назад с резиной","Румынская стоя на одной ноге с отведением второй ноги назад","дубль к Зал/030 (в имени опечатка «Румыгская»)","skip"
"Дом/Румыгская тяга на одной ноге с упорои второй ноги в стену с резиной.mp4","Румынская на одной ноге с упором другой ноги в стену с резиной","0.81","Румынская на одной ноге с упором другой ноги в стену","","","Румынская на одной ноге с упором другой ноги в стену с резиной"
"Зал/01_Приседания со штангой .mp4","Приседания","0.8","Приседания с резиной","Приседания","основной для «Приседания» (студия, база)","Приседания"
"Зал/02_Приседания с гантелью.mp4","Приседания","0.8","Приседания с резиной","Приседания","дубль к Зал/01 (снаряд гантель; каталог — только «Приседания»)","skip"
"Зал/034_Подтягивания в гравитроне .mp4","Подтягивания в гравитроне параллельный хват","0.8","Приседания с резиной","","","Подтягивания в гравитроне параллельный хват"
"Зал/038_Сгибания рук с прямой рукояткой.mp4","Сгибание рук (прямая рукоять)","0.793","Сгибание рук с резиной","","","Сгибание рук (прямая рукоять)"
"Дом/Румыгская тяга на одной ноге с упорои второй ноги в стену.mp4","Румынская на одной ноге с упором другой ноги в стену","0.78","Румынская стоя на одной ноге с отведением второй ноги назад","Румынская на одной ноге с упором другой ноги в стену","дубль к Зал/031","skip"
"Зал/019_Доползание до планки + касание противоположной рукой плеча.mp4","Доползание до планки + касание рукой противоположного плеча","0.778","Доползание до планки + становимся на локти","","","Доползание до планки + касание рукой противоположного плеча"
"Дом/ягодичный мост с резиной .mp4","Ягодичный мост со штангой","0.773","Ягодичный мост на одной ноге с резиной (упор на стул/диван)","Ягодичный мост со штангой","нет двуногой резина-версии в каталоге — skip (есть только «на одной ноге с резиной»)","skip"
"Зал/013_Протяжка штанги.mp4","Протяжка штанги широким хватом стоя","0.76","Протяжка резины","","","Протяжка штанги широким хватом стоя"
"Зал/020_Выпады назад с гантелей на головой.mp4","Выпад назад с гантелью в руке над головой","0.703","Выпады","","то же упражнение — брать","Выпад назад с гантелью в руке над головой"
"Зал/037_Тяга нижнего блока широким хватом.mp4","Тяга нижнего блока с упором грудью","0.667","Тяга нижнего блока с V-образной рукоятью сидя","Тяга нижнего блока с упором грудью","в каталоге НЕТ 'нижнего широким'; ближайшее по движению 'Тяга нижнего блока с V-образной рукоятью сидя' — иначе skip","skip"
"Зал/018_В планке перетаскивание гантели.mp4","В планке перетаскиваем гантель под собой","0.632","Доползание до планки + становимся на локти","","то же упражнение — брать","В планке перетаскиваем гантель под собой"
